pair	key	word	pinyin	hsk	voices
22	cong2rong2	从容	cóngróng	677	female,male
22	cong2tou2	从头	cóngtóu	679	female,male
22	cun2huo2	存活	cúnhuó	697	female,male
22	cun2zhe2	存折	cúnzhé	700	female,male
22	duo2kui2	夺魁	duókuí	1009	female,male
22	fa2men2	阀门	fámén	1053	female,male
22	fan2hua2	繁华	fánhuá	1068	female,male
22	fan2za2	繁杂	fánzá	1072	female,male
22	feng2he2	缝合	fénghé	1217	female,male
22	fu2chi2	扶持	fúchí	1228	female,male
22	ge2he2	隔阂	géhé	1341	female,male
23	bo2mu3	伯母	bómǔ	289	female,male
23	can2ren3	残忍	cánrěn	380	female,male
23	cang2pin3	藏品	cángpǐn	392	female,male
23	cha2chu3	查处	cháchǔ	418	female,male
23	chang2li3	常理	chánglǐ	444	female,male
23	chao2shui3	潮水	cháoshuǐ	462	female,male
23	chen2wen3	沉稳	chénwěn	481	female,male
23	cheng2ken3	诚恳	chéngkěn	493	female,male
23	cheng2pin3	成品	chéngpǐn	495	female,male
23	chi2huan3	迟缓	chíhuǎn	518	female,male
23	chi2zao3	迟早	chízǎo	523	female,male
23	chong2fan3	重返	chóngfǎn	542	female,male
23	chong2zu3	重组	chóngzǔ	549	female,male
23	chou2ma3	筹码	chóumǎ	564	female,male
23	chun2pu3	纯朴/淳朴	chúnpǔ/chúnpǔ	647/648	female,male
23	ci2dian3	辞典	cídiǎn	655	female,male
23	ci2tie3	磁铁	cítiě	657	female,male
23	de2shou3	得手	déshǒu	818	female,male
23	de2ti3	得体	détǐ	819	female,male
23	die2qi3	迭起	diéqǐ	907	female,male
23	du2pin3	毒品	dúpǐn	965	female,male
23	er2yi3	而已	éryǐ	1028	female,male
23	fan2yan3	繁衍	fányǎn	1071	female,male
23	fang2shou3	防守	fángshǒu	1105	female,male
23	fu2lu3	俘虏	fúlǔ	1232	female,male
23	guo2tu3	国土	guótǔ	1538	female,male
23	guo2you3	国有	guóyǒu	1541	female,male
23	hang2hai3	航海	hánghǎi	1590	female,male
23	he2ai3	和蔼	hé’ǎi	1620	female,male
23	he2deng3	何等	héděng	1624	female,male
